P	Team	Points	Games	Wins	Loses	SetW	SetL	Coef	PointsFor	PointsAgainst	CoefPoints	3-0	3-1	3-2	2-3	1-3	0-3
1	Ολυμπιακός Σ.Φ.Π.	64	22	22	0	66	9	7.33	1768	1372	1.29	15	5	2	0	0	0
2	ΠΑΟΚ	52	22	17	5	59	22	2.68	1906	1651	1.15	12	3	2	3	2	0
3	Α.Ο.Φοίνικας Σύρου	37	22	12	10	46	39	1.18	1895	1837	1.03	6	3	3	4	2	4
4	Ηρακλής Πετοσφαίριση 2015	36	22	13	9	45	43	1.05	2005	2018	0.99	2	6	5	2	2	5
5	Α.Ο.Π.Κηφισιάς	33	22	12	10	45	44	1.02	1932	1916	1.01	3	4	5	2	5	3
6	Α.Π.Φ.Σ.Ηρακλής Χαλκίδας	31	22	9	13	41	46	0.89	1920	1937	0.99	4	3	2	6	2	5
7	Εθνικός Ο.Φ.Π.Φ.	31	22	10	12	37	43	0.86	1613	1675	0.96	4	5	1	2	3	7
8	Γ.Α.Σ. Παμβοχαϊκός	30	22	11	11	40	44	0.91	1754	1812	0.97	4	3	4	1	5	5
9	Μ.Α.Σ Νίκη Αιγινίου	29	22	11	11	40	47	0.85	1932	1953	0.99	2	4	5	1	5	5
10	Μ.Γ.Σ. Εθνικός Αλεξανδρούπολης	26	22	8	14	36	49	0.73	1808	1911	0.95	3	3	2	4	4	6
11	Παναθηναϊκός Α.Ο.	25	22	7	15	38	49	0.78	1843	1949	0.95	4	2	1	5	7	3
12	Παναχαϊκή Πετοσφαίριση 2013	2	22	0	22	8	66	0.12	1393	1738	0.8	0	0	0	2	4	16
1	Ολυμπιακός Σ.Φ.Π.	62	22	21	1	65	14	4.64	1907	1561	1.22	12	7	2	1	0	0
2	ΠΑΟΚ	53	22	18	4	60	23	2.61	1942	1705	1.14	10	5	3	2	2	0
3	Παναθηναϊκός Α.Ο.	50	22	17	5	58	27	2.15	2010	1736	1.16	8	6	3	2	3	0
4	Γ.Α.Σ. Παμβοχαϊκός	39	22	14	8	45	36	1.25	1813	1754	1.03	6	4	4	1	1	6
5	Α.Ο.Π. Κηφισιάς	38	22	11	11	45	39	1.15	1937	1891	1.02	5	6	0	5	2	4
6	Α.Ο.Φοίνικας Σύρου	37	22	12	10	51	42	1.21	2090	1974	1.06	5	2	5	6	3	1
7	Μ.Γ.Σ. Εθνικός Αλεξανδρούπολης	36	22	12	10	43	38	1.13	1772	1772	1	6	4	2	2	3	5
8	Ηρακλής Πετοσφαίριση 2015	28	22	9	13	33	48	0.69	1730	1877	0.92	0	9	0	1	4	8
9	Α.Π.Φ.Σ.Ηρακλής Χαλκίδας	16	22	6	16	28	53	0.53	1722	1897	0.91	3	1	2	0	10	6
10	Παναχαϊκή Πετοσφαίριση	16	22	5	17	30	56	0.54	1812	1986	0.91	2	1	2	3	9	5
11	Α.Π.Σ.Κύζικος Ν. Περάμου	14	22	5	17	24	56	0.43	1700	1885	0.9	2	1	2	1	7	9
12	Α.Ο.Ορεστιάδας	7	22	2	20	12	62	0.19	1409	1806	0.78	0	2	0	1	4	15
1	Ολυμπιακός Σ.Φ.Π.	59	22	20	2	63	13	4.85	1834	1490	1.23	15	3	2	1	1	0
2	Α.Ο.Π. Κηφισιάς	51	22	17	5	59	28	2.11	2042	1822	1.12	7	7	3	3	2	0
3	Α.Ο.Φοίνικας Σύρου	47	22	16	6	53	29	1.83	1925	1743	1.1	7	7	2	1	3	2
4	Π.Α.Ο.Κ.	44	22	16	6	52	28	1.86	1848	1668	1.11	10	2	4	0	4	2
5	Παναθηναϊκός Α.Ο.	36	22	13	9	45	39	1.15	1881	1861	1.01	5	4	4	1	4	4
6	Γ.Α.Σ. Παμβοχαϊκός	31	22	9	13	41	45	0.91	1925	1945	0.99	4	4	1	5	4	4
7	Μ.Γ.Σ. Εθνικός Αλεξανδρούπολης	28	22	9	13	38	50	0.76	1849	1937	0.95	2	3	4	5	1	7
8	Παναχαϊκή Πετοσφαίριση	25	22	9	13	34	49	0.69	1770	1898	0.93	2	4	3	1	5	7
9	Α.Ο. Ορεστιάδας	25	22	8	14	33	51	0.65	1778	1890	0.94	1	5	2	3	3	8
10	Ηρακλής Πετοσφαίριση	24	22	7	15	34	52	0.65	1816	1979	0.92	2	3	2	5	3	7
11	Α.Σ. Άρης	17	22	6	16	30	56	0.54	1810	1962	0.92	2	0	4	3	6	7
12	Γ.Σ. Λαμία	9	22	2	20	18	60	0.3	1563	1846	0.85	2	0	0	3	6	11
1	Α.Ο. Ορεστιάδας	25	22	9	13	32	49	0.65	1725	1861	0.93	2	4	3	1	3	9
2	Α.Ε.Κ.	11	22	4	18	22	58	0.38	1611	1910	0.84	2	0	2	1	8	9
3	Παναθηναϊκός Α.Ο.	43	22	14	8	52	35	1.49	1993	1843	1.08	6	5	3	4	2	2
4	Π.Α.Ο.Κ.	57	22	20	2	64	21	3.05	2016	1706	1.18	10	5	5	2	0	0
5	Α.Ο.Φοίνικας Σύρου	43	22	13	9	50	32	1.56	1858	1754	1.06	8	5	0	4	3	2
6	Γ.Α.Σ. Παμβοχαϊκός	29	22	10	12	38	44	0.86	1792	1847	0.97	5	2	3	2	4	6
7	Ολυμπιακός Σ.Φ.Π.	53	22	19	3	61	25	2.44	2030	1788	1.14	8	6	5	1	2	0
8	Γ.Σ. Λαμία	15	22	5	17	24	56	0.43	1725	1884	0.92	2	1	2	2	5	10
9	Α.Ο. Κηφισιάς	41	22	13	9	50	36	1.39	1978	1872	1.06	6	5	2	4	3	2
10	Μ.Γ.Σ. Εθνικός Αλεξ/πολης	40	22	12	10	49	36	1.36	1921	1799	1.07	7	4	1	5	3	2
11	Α.Σ. Άρης	23	22	8	14	31	48	0.65	1713	1844	0.93	5	0	3	2	3	9
12	Μ.Ε.Ν.Τούμπας	16	22	5	17	23	56	0.41	1630	1884	0.87	1	3	1	2	4	11
1	Ολυμπιακός Σ.Φ.Π.	52	22	17	5	58	25	2.32	1948	1732	1.12	9	6	2	3	1	1
2	Α.Ο. Κηφισιάς	50	22	16	6	57	27	2.11	1945	1769	1.1	9	5	2	4	1	1
3	Μ.Γ.Σ. Εθνικός Αλεξ/πολης	48	22	16	6	55	31	1.77	1985	1869	1.06	6	7	3	3	1	2
4	Α.Ο.Φοίνικας Σύρου	48	22	17	5	57	27	2.11	1938	1772	1.09	10	2	5	2	2	1
5	Α.Ε.Κ.	38	22	12	10	47	39	1.21	1963	1892	1.04	5	5	2	4	3	3
6	Γ.Σ. Λαμία	29	22	10	12	36	45	0.8	1763	1771	1	4	3	3	2	2	8
7	Π.Α.Ο.Κ.	29	22	9	13	42	49	0.86	2048	2030	1.01	2	4	3	5	5	3
8	Γ.Α.Σ. Παμβοχαϊκός	23	22	8	14	36	53	0.68	1946	2031	0.96	1	3	4	3	6	5
9	Παναθηναϊκός Α.Ο.	23	22	8	14	31	48	0.65	1751	1856	0.94	4	2	2	1	5	8
10	Α.Σ. Άρης	22	22	6	16	34	54	0.63	1749	1891	0.92	2	2	2	6	4	6
11	Παναχαϊκή Πετοσφαίριση 2013	17	22	6	16	30	57	0.53	1723	1949	0.88	0	3	3	2	8	6
12	Μ.Α.Σ Νίκη Αιγινίου	17	22	7	15	27	55	0.49	1690	1887	0.9	2	0	5	1	4	10
